,product_id,product_name,img_link,product_link,avg_rating,discounted_price
392,B08461VC1Z,"Scarters Mouse Pad, Desk Mat Extended for Work from Home/Office/Gaming | Vegan PU Leather | Anti-Skid, Anti-Slip, Reversible Splash-Proof – Deskspread ~ Navy Blue & Yellow",https://m.media-amazon.com/images/I/31rWKVEYZOL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Scarters-Office-Keyboard-Splash-Proof-Leather/dp/B08461VC1Z/ref=sr_1_410?qid=1672903016&s=computers&sr=1-410,4.5,₹999
400,B00NH13Q8W,"AmazonBasics USB 2.0 Extension Cable for Personal Computer, Printer, 2-Pack - A-Male to A-Female - 3.3 Feet (1 Meter, Black)",https://m.media-amazon.com/images/I/41WuKPTQhTL._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/AmazonBasics-Extension-Cable-2-Pack-Female/dp/B00NH13Q8W/ref=sr_1_233?qid=1672909135&s=electronics&sr=1-233,4.5,₹299
408,B00NH11KIK,"AmazonBasics USB 2.0 Cable - A-Male to B-Male - for Personal Computer, Printer- 6 Feet (1.8 Meters), Black",https://m.media-amazon.com/images/I/4101vlzySzL._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/AmazonBasics-USB-2-0-Cable-Male/dp/B00NH11KIK/ref=sr_1_44?qid=1672909125&s=electronics&sr=1-44,4.5,₹209
424,B00NH11PEY,"AmazonBasics USB 2.0 - A-Male to A-Female Extension Cable for Personal Computer, Printer (Black, 9.8 Feet/3 Meters)",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41Fqm0bR7PL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/AmazonBasics-Extension-Cable-Male-Female/dp/B00NH11PEY/ref=sr_1_34?qid=1672909125&s=electronics&sr=1-34,4.5,₹199
440,B082T6GXS5,"AmazonBasics New Release Nylon USB-A to Lightning Cable Cord, MFi Certified Charger for Apple iPhone, iPad, Silver, 6-Ft",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31OIv762uSL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/AmazonBasics-Nylon-Braided-Lightning-Cable/dp/B082T6GXS5/ref=sr_1_165?qid=1672909131&s=electronics&sr=1-165,4.5,₹999
448,B094QZLJQ6,"Seagate One Touch 2TB External HDD with Password Protection – Black, for Windows and Mac, with 3 yr Data Recovery Services, and 4 Months Adobe CC Photography (STKY2000400)",https://m.media-amazon.com/images/I/41BWhztt6EL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Seagate-Touch-External-Password-Protection/dp/B094QZLJQ6/ref=sr_1_252?qid=1672903007&s=computers&sr=1-252,4.5,"₹5,799"
456,B00LY12TH6,Camel Oil Pastel with Reusable Plastic Box - 50 Shades,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31filqqY7-L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Camel-Oil-Pastel-Reusable-Plastic/dp/B00LY12TH6/ref=sr_1_448?qid=1672903017&s=computers&sr=1-448,4.5,₹230
464,B088WCFPQF,"Cafe JEI French Press Coffee and Tea Maker 600ml with 4 Level Filtration System, Heat Resistant Borosilicate Glass (Black, 600ml)",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31YEW0-SNcL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Cafe-JEI-Filtration-Resistant-Borosilicate/dp/B088WCFPQF/ref=sr_1_436?qid=1672923613&s=kitchen&sr=1-436,4.5,"₹1,099"
472,B071VNHMX2,Philips Daily Collection HD2582/00 830-Watt 2-Slice Pop-up Toaster (White),https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31CLpobJstL._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/Philips-Collection-HD2582-00-830-Watt/dp/B071VNHMX2/ref=sr_1_109?qid=1672923596&s=kitchen&sr=1-109,4.5,"₹2,095"
480,B0752LL57V,Casio MJ-12D 150 Steps Check and Correct Desktop Calculator,https://m.media-amazon.com/images/I/41cRLg+wdIL._SY300_SX300_.jpg,https://www.amazon.in/Casio-MJ-12D-Desktop-Calculator-Grey/dp/B0752LL57V/ref=sr_1_168?qid=1672903002&s=computers&sr=1-168,4.5,₹440
488,B0BMM7R92G,Noise_Colorfit Smart Watch Charger 2 Pin USB Fast Charger Magnetic Charging Cable Adapter (Smart Watch Charger 2 pin),https://m.media-amazon.com/images/I/21yMfxVmNuL._SX300_SY300_QL70_ML2_.jpg,https://www.amazon.in/Noise_Colorfit-Charger-Magnetic-Charging-Adapter/dp/B0BMM7R92G/ref=sr_1_354?qid=1672895850&s=electronics&sr=1-354,4.5,₹249
496,B0B2DD66GS,"SanDisk Extreme microSD UHS I Card 128GB for 4K Video on Smartphones,Action Cams 190MB/s Read,90MB/s Write",https://m.media-amazon.com/images/I/41O4rjSlneL._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/SanDisk-Extreme-microSD-Smartphones-Action/dp/B0B2DD66GS/ref=sr_1_182?qid=1672903004&s=computers&sr=1-182,4.5,"₹1,329"
504,B086Q3QMFS,"Classmate Drawing Book - Unruled, 40 Pages, 210 mm x 297 mm - Pack Of 4",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41KFL-3kiUL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Classmate-Drawing-Book-Unruled-Pages/dp/B086Q3QMFS/ref=sr_1_468?qid=1672903018&s=computers&sr=1-468,4.5,₹120
512,B086PXQ2R4,"Classmate Long Book - Unruled, 160 Pages, 314 mm x 194 mm - Pack Of 3",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41BDLm8-jLL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Classmate-Long-Book-Unruled-Pages/dp/B086PXQ2R4/ref=sr_1_431?qid=1672903016&s=computers&sr=1-431,4.5,₹165
520,B01MUAUOCX,"Sujata Chutney Steel Jar, 400 ml, (White), Stainless Steel",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/315uFBgWK3L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/SUJATA-Chutney-Jar-Small-8x8x8cm/dp/B01MUAUOCX/ref=sr_1_386?qid=1672923611&s=kitchen&sr=1-386,4.5,₹688
528,B09X7DY7Q4,SanDisk Extreme SD UHS I 64GB Card for 4K Video for DSLR and Mirrorless Cameras 170MB/s Read & 80MB/s Write,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41x8yDAjWJL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/SanDisk-Extreme-Video-Mirrorless-Cameras/dp/B09X7DY7Q4/ref=sr_1_307?qid=1672903010&s=computers&sr=1-307,4.5,₹939
536,B08LT9BMPP,"Logitech G102 USB Light Sync Gaming Mouse with Customizable RGB Lighting, 6 Programmable Buttons, Gaming Grade Sensor, 8K DPI Tracking, 16.8mn Color, Light Weight - Black",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41zEY42v1tL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Logitech-G102-Customizable-Lighting-Programmable/dp/B08LT9BMPP/ref=sr_1_347?qid=1672903012&s=computers&sr=1-347,4.5,"₹1,495"
544,B0BMTZ4T1D,!!1000 Watt/2000-Watt Room Heater!! Fan Heater!!Pure White!!HN-2500!!Made in India!!,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/314HwKNEFEL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/2000-Watt-Heater-White-HN-2500-India/dp/B0BMTZ4T1D/ref=sr_1_165?qid=1672923598&s=kitchen&sr=1-165,4.5,₹784
552,B00P93X6EK,"Classmate Soft Cover 6 Subject Spiral Binding Notebook, Unruled, 300 Pages",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/51fhn5ex+GL._SY300_SX300_.jpg,https://www.amazon.in/Classmate-Pulse-Spiral-Notebook-Unruled/dp/B00P93X6EK/ref=sr_1_311?qid=1672903010&s=computers&sr=1-311,4.5,₹157
560,B07ZKD8T1Q,Cuzor 12V Mini ups for WiFi Router | Power Backup up to 4 Hours | Replaceable Battery | Ups for Wi-Fi Router and Modem | Ups for Router up to 2A | ups for uninterrupted wi-fi,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31VtFl2O33L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Cuzor-Router-Switching-Moisture-Resistant/dp/B07ZKD8T1Q/ref=sr_1_246?qid=1672903007&s=computers&sr=1-246,4.5,"₹1,499"
568,B09C6HXFC1,"Duracell USB Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad And Ipod. Fast Charging Lightning Cable, 3.9 Feet (1.2M) - Black",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41TZJiPRRwL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/DURACELL-Lightning-Certified-braided-Devices/dp/B09C6HXFC1/ref=sr_1_22?qid=1672909124&s=electronics&sr=1-22,4.5,₹970
